species,seed_mass
RUBOCC,1.37875
RUDFUL,0.5
RUDHIR,1.195882353
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDHIR,NA
RUDLAC,2.3925
RUDSUB,0.94
RUDTRI,0.77
RUMACE,0.69428
RUMCRI,1.562130435
SAPOFF,1.662545455
SASALB,78.685
SCHSCO,1.466666667
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCHSCO,NA
SCRLAN,0.159285714
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SENHEB,NA
SETARIA,1.114048148
SILLAT,0.776363636
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILLAT,NA
SILINT,30.65
SILLAC,78.05
SILLAC,NA
SILLAC,NA
SILLAC,NA
SILPER,6.85
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SILPER,NA
SOLCAR,2.44
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAR,NA
SOLCAN,0.09736
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLCAN,NA
SOLJUN,0.367571429
SOLRID,0.2
SOLRIG,0.754444444
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLRIG,NA
SOLSPE,0.285714286
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
SOLSPE,NA
