species,plant.height,SLA,seed.mass,kew.seed
Heliopsis.helianthoides,1.43,18.39192221,NA,
Hieracium,0.23622,20.18719212,0.273333333,kew
Hieracium,0.17018,21.85258964,NA,
Hieracium,0.08255,22.02472952,NA,
Hieracium,0.108204,26.93478261,NA,
Hieracium,0.23495,20.85820896,NA,
Hieracium,0.1524,26.71378092,NA,
Hieracium,0.20955,24.11764706,NA,
Hieracium,0.2032,23.19405757,NA,
Hieracium,0.2032,20.75880759,NA,
Hieracium,0.1016,23.29051988,NA,
Hieracium,0.0762,22.91089109,NA,
Hieracium,0.1524,21.70542636,NA,
Hieracium,0.1905,23.83333333,NA,
Hieracium,0.23495,22.55725191,NA,
Hieracium,0.2794,27.62755102,NA,
Hieracium,0.0889,23.95864106,NA,
Hieracium,0.24765,21.82452642,NA,
Hieracium,0.1143,18.06153846,NA,
Hieracium,0.2921,20.5952381,NA,
Hieracium,0.24765,22.38993711,NA,
Hypericum.ascyron,1.33,19.04,0.12,field
Hypericum.ascyron,1.15,16.43333333,NA,
Hypericum.ascyron,1.15,19.8,NA,
Hypericum.ascyron,0.85,17.38333333,NA,
Hypericum.ascyron,1.2,17.28333333,NA,
Hypericum.ascyron,0.83,18.56,NA,
Hypericum.ascyron,1,17.26,NA,
Hypericum.ascyron,1.2,19.66,NA,
Hypericum.ascyron,0.95,15.95,NA,
Hypericum.ascyron,1.22,16.24,NA,
Hypericum.ascyron,1.13,16.42,NA,
Hypericum.ascyron,1.2,17.2,NA,
Hypericum.ascyron,1.25,17.46,NA,
Hypericum.ascyron,1.25,16.875,NA,
Hypericum.ascyron,1.15,15.3,NA,
Hypericum.ascyron,1.22,17.03333333,NA,
Hypericum.ascyron,1.23,16.16666667,NA,
Hypericum.ascyron,1.2,17.7,NA,
Hypericum.ascyron,0.95,15.76666667,NA,
Hypericum.ascyron,0.86,18.03333333,NA,
Hypericum.kalmianum,NA,NA,0.08,kew
Hypericum.perforatum,0.39,27,0.1863,kew
Hypericum.perforatum,0.475,8,NA,
